ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
WMT,sp500,2025-02-05,Discount Stores,Consumer Defensive,736540164096.0,1.096,0.02339,9.678256,69.566,0.18531999,0.803,2.45,176461000000.0,-15620000000.0,28743000000.0,2024-10-31,3324500000.0,0.1525,0.3345573651984471,100.7699966430664,67.24888610839844,0.0390243484349261,0.1787044348145062,0.0045136710284908,40.68326393594547,41.13061087472098,1.4984634315077772,0.0108762532153504,143.0,273.0,416.0,4
UNH,sp500,2025-02-05,Healthcare Plans,Healthcare,550896926720.0,40.351,0.03635,5.325568,74.683,0.15252,0.908,15.44,207051000000.0,-9307000000.0,27373000000.0,2024-09-30,9423500000.0,0.1649,0.2628721377536095,545.4500122070312,565.7760620117188,0.0496880608192477,0.1384264503600615,0.0171057407346721,32.713666593719644,35.327073329470934,0.9640740371156488,0.0739774481564854,234.0,255.0,489.0,2
XOM,sp500,2025-02-05,Oil & Gas Integrated,Energy,505002524672.0,6.126,0.09802,1.7993193,15.394,0.14513999,1.348,8.05,367567000000.0,24356000000.0,40337000000.0,2024-09-30,7867000000.0,0.0837,0.242725808378125,109.95999908447266,112.92546081542967,0.0798748482023905,0.1029207267754125,0.0155781399412005,12.898633426642563,13.65962721546244,0.9737396534887388,0.0557111681611958,341.0,157.0,498.0,2
V,sp500,2025-02-05,Credit Services,Financial Services,647509377024.0,8.124,0.54955,21.81732,53.239,0.50708,1.283,9.91,59266000000.0,3531000000.0,24372000000.0,2024-12-31,5703000000.0,0.3047,0.4644658804304798,345.1499938964844,255.44114685058597,0.0376396093474591,0.3881077121518544,0.0088075944571048,34.00867748703172,34.82845548904989,1.3511918426296896,0.0235375927673824,132.0,366.0,498.0,4
MA,sp500,2025-02-05,Credit Services,Financial Services,510720671744.0,12.422,0.45262,69.13689,244.839,1.7757801,1.289,13.75,24937000000.0,5006000000.0,15791000000.0,2024-09-30,3854000000.0,0.4674,0.5281022927108233,559.1099853515625,440.7634887695313,0.0309190539440613,0.5273686671342217,0.0075461993477558,39.75912620738636,40.66254438920455,1.2685034028395057,0.0222174533194737,85.0,381.0,466.0,4
PG,sp500,2025-02-05,Household & Personal Products,Consumer Defensive,405945352192.0,5.162,0.17063,8.007716,69.338,0.28766,0.754,6.25,96997000000.0,-8155000000.0,19883000000.0,2024-12-31,3604500000.0,0.2144,-0.1031643349432318,168.1300048828125,166.06504821777344,0.0489794990696086,0.2238018054523761,0.0088792739725596,26.07488078125,26.90080078125,1.0124346253904744,0.0307024317497518,229.0,319.0,548.0,2
COST,sp500,2025-02-05,Discount Stores,Consumer Defensive,436734459904.0,25.152,0.02895,19.16898,42.118,0.30267,0.966,17.27,35863000000.0,-766000000.0,9497000000.0,2024-11-30,1688500000.0,0.2416,0.6386417017677873,1021.8599853515624,800.7659912109375,0.0217454789395083,0.2705929281704989,0.0038661936600357,57.713259140217865,59.16965751890924,1.2761031269650718,0.0246139396400248,38.0,337.0,375.0,4
JNJ,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,372143357952.0,8.43,0.16744,5.2666078,50.958,0.20889,1.029,5.85,125038000000.0,1490000000.0,22815000000.0,2024-09-30,5185500000.0,0.166,-0.0799338805619811,153.49000549316406,158.76144409179688,0.0613070192238732,0.1803158194233687,0.0139341463153799,24.7965821355836,26.23760777660924,0.9667964811684074,0.0549221427995547,286.0,282.0,568.0,2
ORCL,sp500,2025-02-05,Software - Infrastructure,Technology,601787858944.0,3.938,0.20396,53.14657,749.978,1.55578,0.72,4.08,124980000000.0,-5549000000.0,17286000000.0,2024-11-30,1229000000.0,0.1486,1.6417034603828642,167.88999938964844,127.26034545898438,0.028724408017026,0.144736291247666,0.0020422479146664,40.18431357589423,41.1495096543256,1.3192640549900037,0.0234558342624117,70.0,245.0,315.0,4
HD,sp500,2025-02-05,Home Improvement Retail,Consumer Cyclical,469633597440.0,1.545,0.0945,70.47268,1095.368,4.04933,1.133,14.81,64315000000.0,3857000000.0,21174000000.0,2024-10-31,4052500000.0,0.4419,0.5938672483385806,411.489990234375,346.07452392578125,0.0450862121352064,0.3105967259285337,0.0086290674732182,27.680282932773466,27.78460433722991,1.1890213286044211,0.0037546478326726,205.0,375.0,580.0,2
ABBV,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,374475194368.0,4.122,0.09222999,55.654846,1174.815,0.56407,0.645,2.39,115637000000.0,-15277000000.0,15005000000.0,2024-09-30,3614000000.0,0.1379,0.08549245022885,189.9499969482422,181.19078063964844,0.0400694097384043,0.1495117576723794,0.0096508395064707,77.752299978344,79.47698617081262,1.0483425054943278,0.0217004478348223,150.0,243.0,393.0,5
KO,sp500,2025-02-05,Beverages - Non-Alcoholic,Consumer Defensive,300559630336.0,4.217,0.2245,10.185275,167.358,0.3723,1.06,2.38,75978000000.0,1719000000.0,13518000000.0,2024-09-30,717500000.0,0.1559,-0.0224843755045216,62.66999816894531,67.1271743774414,0.044976100033421,0.1739835514884744,0.0023872134764003,24.560083264262737,26.33193200375853,0.9336010155375472,0.0672889759567543,203.0,272.0,475.0,0
NFLX,sp500,2025-02-05,Entertainment,Communication Services,381036494848.0,21.579,0.20701,18.7171,81.461,0.34714,1.133,20.2,40529995000.0,2344979000.0,10417614000.0,2024-12-31,1786229000.0,0.1819,1.1904971992658244,994.8699951171876,598.5499877929688,0.0273402000618227,0.2429765671694634,0.0046878160600142,48.18272253055384,49.25098985728651,1.6621335150061036,0.0216902711971509,64.0,316.0,380.0,3
MRK,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,276028325888.0,5.769,0.19229001,5.1627216,85.572,0.28332,1.364,4.35,77171000000.0,10775000000.0,14159000000.0,2024-09-30,6677000000.0,0.1249,-0.024832672390036,90.73999786376952,110.67764282226562,0.0512954601831157,0.1609965205921815,0.0241895464116578,19.53356272730334,20.859769623855065,0.8198584244289207,0.0635772551886232,240.0,241.0,481.0,0
CVX,sp500,2025-02-05,Oil & Gas Integrated,Energy,302887305216.0,2.617,0.087019995,1.7627907,16.456,0.103520006,1.069,9.97,221045000000.0,2469000000.0,21908000000.0,2024-09-30,3974000000.0,0.0853,0.3410609738781533,153.22000122070312,141.6143035888672,0.0723305322564661,0.098016231645445,0.0131203914180754,15.10561697298928,15.36810443537644,1.081952863077514,0.017080015527675,321.0,151.0,472.0,2
CRM,sp500,2025-02-05,Software - Application,Technology,316399091712.0,13.218,0.15445,5.6024227,21.148,0.09734,1.041,6.16,69970000000.0,2050000000.0,7343000000.0,2024-10-31,1267000000.0,0.0311,1.167070775513032,344.1400146484375,238.3633728027344,0.0232080312249565,0.1019577895029158,0.0040044362742775,53.72110627409699,55.866885494876215,1.4437621460124337,0.0384087854866371,45.0,103.0,148.0,1
ADBE,sp500,2025-02-05,Software - Infrastructure,Technology,240642179072.0,17.072,0.25588,13.468869,41.788,0.35355,1.111,12.41,18998000000.0,711000000.0,7741000000.0,2024-11-30,2418500000.0,0.3269,1.128015585365891,440.2300109863281,509.3200073242188,0.0321680930161619,0.3927647267745699,0.010050191572095,34.09814754120291,35.47381232766544,0.8643485522964939,0.0387797278103563,96.0,368.0,464.0,0
AMD,sp500,2025-02-05,Semiconductors,Technology,191619481600.0,2.8,0.07516,3.4034917,3.927,0.03262,2.498,1.18,50901000000.0,11235000000.0,1371000000.0,2024-09-30,467500000.0,0.1706,2.1485875924275217,119.5,134.82000732421875,0.0071548048692769,0.0220645036693704,0.0024397310549868,98.89830508474576,101.27118644067797,0.8863669597096462,0.0234309623430962,10.0,162.0,172.0,5
PEP,sp500,2025-02-05,Beverages - Non-Alcoholic,Consumer Defensive,243283787776.0,5.868,0.1018,10.127753,229.605,0.48819,0.886,6.47,73661000000.0,-3463000000.0,13241000000.0,2024-09-30,2512500000.0,0.1689,-0.0197226843151058,143.49000549316406,171.26644897460938,0.0544261503039054,0.1886236075101854,0.0103274452562919,21.270789102498316,22.177744280241743,0.8378173679214705,0.0408948343115057,263.0,289.0,552.0,0
TMO,sp500,2025-02-05,Diagnostics & Research,Healthcare,246323118080.0,17.373,0.14479999,4.5327287,72.329,0.12944001,1.629,16.14,76580000000.0,9182000000.0,7406000000.0,2024-09-30,1776500000.0,0.113,0.5217973787122543,580.5700073242188,597.206298828125,0.0300661994608021,0.0863552622373545,0.007212071744817,34.89448620348319,35.9708802555278,0.9721431412619876,0.0299240397899129,79.0,170.0,249.0,5
TMUS,sp500,2025-02-05,Telecom Services,Communication Services,363986026496.0,8.405,0.12964,4.3005004,182.272,0.16087,1.075,9.63,189631000000.0,-1770000000.0,18010000000.0,2024-12-31,2130500000.0,0.0633,0.3670432307580533,237.25,185.5936584472656,0.0494799214502206,0.0958687540255827,0.0058532466768292,23.76375908618899,24.63655244029076,1.2783303157279586,0.0354267650158061,233.0,130.0,363.0,4
LIN,sp500,2025-02-05,Specialty Chemicals,Basic Materials,235061608448.0,10.893,0.19328,5.5282063,54.828,0.1619,0.958,13.19,69086000000.0,-589000000.0,8713000000.0,2024-09-30,1230500000.0,0.0915,0.5583301055654382,454.7999877929688,440.8624267578125,0.0370668781581466,0.1272026512110019,0.0052347978392745,33.65481332774593,34.48066624662386,1.0316143091114744,0.0239511879779527,130.0,187.0,317.0,5
ACN,sp500,2025-02-05,Information Technology Services,Technology,217196363776.0,8.018,0.111940004,8.656116,14.127,0.26674998,1.099,12.14,34669733000.0,8011369000.0,9979437000.0,2024-11-30,2023038000.0,0.2793,0.5703454935514876,391.6199951171875,312.4681091308594,0.0459466117503331,0.2338139488525858,0.0093143272052492,31.5981874066876,32.25864869169584,1.253311885832099,0.0204739290638127,215.0,338.0,553.0,4
CSCO,sp500,2025-02-05,Communication Equipment,Technology,258062598144.0,4.679,0.17731,5.405358,70.647,0.20761,0.882,2.34,87581000000.0,-4790000000.0,11594000000.0,2024-10-31,3488000000.0,0.1931,0.8805356014703415,61.34000015258789,44.10016632080078,0.0449270839067135,0.1400393762607046,0.0135161004542536,24.214102629311064,26.21367527888372,1.3909244628779456,0.076279752011096,199.0,276.0,475.0,4
DHR,sp500,2025-02-05,Diagnostics & Research,Healthcare,177797611520.0,3.637,0.16393,3.0269456,36.69,0.07586,1.371,5.31,70555000000.0,2721000000.0,4056000000.0,2024-09-30,1172500000.0,0.0788,0.5835960270350801,215.00999450683597,268.7433166503906,0.0228124549330278,0.0553523663955456,0.0065945767773607,39.80659030260564,40.49152438923464,0.8000570849043416,0.0169154927348475,42.0,104.0,146.0,5
ABT,sp500,2025-02-05,Medical Devices,Healthcare,210057101312.0,4.49,0.13992,5.626744,37.589,0.14840001,1.597,7.68,50554000000.0,8900000000.0,6694000000.0,2024-09-30,1788000000.0,0.1187,0.1428011023019666,129.10000610351562,107.55601501464844,0.0318675253452028,0.1125912470144986,0.0085119712155994,16.225261211395264,16.80989662806193,1.2003048466041908,0.0347792392542553,92.0,196.0,288.0,1
QCOM,sp500,2025-02-05,Semiconductors,Technology,194387443712.0,11.971,0.2603,7.330339,58.765,0.42253,2.402,9.08,29923000000.0,14727000000.0,10099000000.0,2024-09-30,2528000000.0,0.2937,1.7391808753656064,173.0399932861328,156.32022094726562,0.0519529441158887,0.2261814109742441,0.0130049552158596,17.738875912569693,19.057267983054277,1.106958474326284,0.0691805389763577,245.0,341.0,586.0,2
GE,sp500,2025-02-05,Aerospace & Defense,Industrials,209589895168.0,14.373,0.08926,11.5935545,110.224,0.22552,1.134,6.02,85507000000.0,3243000000.0,6503000000.0,2024-12-31,1136000000.0,0.0356,1.1453394435487707,202.17999267578125,157.8686065673828,0.0310272591853124,0.0732732394366197,0.0054201086320951,31.19717486308659,33.58471639132579,1.2806852297735654,0.0710901202922128,87.0,73.0,160.0,1
TXN,sp500,2025-02-05,Semiconductors,Technology,188821782528.0,9.594,0.31601998,9.5362835,84.399,0.29293,4.306,5.18,19449000000.0,12186000000.0,5497000000.0,2024-09-30,461500000.0,0.3641,1.3786085027621815,180.55999755859372,178.6835479736328,0.0291121073342523,0.1737632369211316,0.0024441036082876,33.00501883370536,34.85714238582891,1.0105015240979982,0.0531346927875685,73.0,347.0,420.0,5
IBM,sp500,2025-02-05,Information Technology Services,Technology,257907621888.0,14.819,0.10222,10.002269,245.112,0.26729,1.059,6.51,103798000000.0,1690000000.0,9440000000.0,2024-09-30,2039500000.0,0.072,0.7721146324721212,264.4599914550781,180.2996826171875,0.0366022528954163,0.0894888518125284,0.0079078702097671,38.34731051537299,40.62365460139449,1.466780127486857,0.0560349409317635,126.0,132.0,258.0,1
AMGN,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,206744715264.0,16.764,0.13002,20.63839,802.418,0.5572,1.318,7.83,64117000000.0,6454000000.0,6218000000.0,2024-09-30,2767500000.0,0.1647,0.6122184409493443,289.0199890136719,320.40887451171875,0.0300757385360975,0.0881098468209321,0.0133860737212367,34.7708798229466,36.91187599152897,0.902034906037227,0.0580029085780879,80.0,217.0,297.0,5
AMAT,sp500,2025-02-05,Semiconductor Equipment & Materials,Technology,150907158528.0,11.042,0.27743,7.813416,35.409,0.4391,2.86,8.61,13189000000.0,12752000000.0,7867000000.0,2024-10-31,2128000000.0,0.3507,2.070190781122801,178.55999755859375,181.1161651611328,0.052131390430629,0.3032651015766547,0.0141013853865995,19.45621342143946,20.738675674633424,0.9858865849977282,0.0618391585516045,249.0,362.0,611.0,2
VZ,sp500,2025-02-05,Telecom Services,Communication Services,339618168832.0,1.191,0.07298,1.7397956,182.615,0.10431,0.657,4.12,340523000000.0,-21175000000.0,27706000000.0,2024-09-30,5717000000.0,0.0965,-0.0613068716957562,39.810001373291016,38.50592422485352,0.0815798521477377,0.0867580194646592,0.0168336105799688,9.373544022643449,9.662621692546365,1.0338669224201036,0.0299171052226854,343.0,150.0,493.0,2
NOW,sp500,2025-02-05,Software - Application,Technology,232900313088.0,25.664,0.12768,22.433374,24.166,0.16221,1.134,6.77,11196000000.0,829000000.0,1364000000.0,2024-12-31,920500000.0,0.0705,1.2982362233368163,1010.1300048828124,781.27001953125,0.0058565829384893,0.1134303534303534,0.003952334746979,145.41595345388663,149.20679540366507,1.2929332748348323,0.0254066307068834,7.0,154.0,161.0,1
CAT,sp500,2025-02-05,Farm & Heavy Construction Machinery,Industrials,222999429120.0,9.859,0.1626,9.00911,195.336,0.53475,1.395,22.08,41327000000.0,12728000000.0,13282000000.0,2024-09-30,2574000000.0,0.1594,1.252944688176763,361.9500122070313,314.5128479003906,0.0595606905919598,0.2457127000277495,0.0115426304459949,15.94615091517352,16.392663596332937,1.1508274292237004,0.0272385679444618,280.0,305.0,585.0,2
DIS,sp500,2025-02-05,Entertainment,Communication Services,244472922112.0,3.279,0.053049996,2.0447943,45.188,0.0546,0.716,2.71,170978000000.0,-9358000000.0,11914000000.0,2024-09-30,2633000000.0,0.0463,0.372845274857965,113.3000030517578,87.39275360107422,0.0487334134883938,0.0737161242420492,0.0107701089235303,40.59815610765971,41.80811920729071,1.296446197003285,0.0289408641807545,228.0,87.0,315.0,4
NEE,sp500,2025-02-05,Utilities - Regulated Electric,Utilities,232355889152.0,1.1,0.26492,2.871934,139.015,0.09887999,0.411,3.31,173833000000.0,-17467000000.0,8487000000.0,2024-09-30,1999000000.0,0.0399,0.1108568065117654,69.9000015258789,75.67936706542969,0.0365258656923822,0.0542765051225969,0.0086031819864583,20.78549895041659,21.117825234404503,0.9236335375987732,0.0157367664662031,125.0,51.0,176.0,5
PFE,sp500,2025-02-05,Drug Manufacturers - General,Healthcare,206739144704.0,1.756,0.071609996,1.5882859,73.408,0.04538,1.0,0.74,176254000000.0,12000000.0,9779000000.0,2024-09-30,1822500000.0,0.1247,0.2362451254639416,25.8700008392334,28.808856964111328,0.0473011534124374,0.0554786515834023,0.0088154568048028,32.58648762058567,34.959460593558646,0.8979877567326252,0.0678778485904384,220.0,142.0,362.0,5
RTX,sp500,2025-02-05,Aerospace & Defense,Industrials,205254606848.0,5.02,0.05969,2.795818,69.597,0.073460005,0.991,3.5,111728000000.0,-366000000.0,7298000000.0,2024-12-31,1085000000.0,0.0441,0.4527113473565713,128.3699951171875,113.95008850097656,0.0355558401931728,0.0655340241734164,0.0052861176499852,35.242855747767855,36.67714146205357,1.1265458132231934,0.0391057115443316,122.0,75.0,197.0,1
SPGI,sp500,2025-02-05,Financial Data & Stock Exchanges,Financial Services,174141014016.0,5.466,0.25792,4.689263,31.362,0.099309996,0.945,11.25,55166000000.0,-303000000.0,5108000000.0,2024-09-30,1467000000.0,0.2343,0.6174994869756116,513.6900024414062,470.3107604980469,0.0293325499961237,0.0931046424730692,0.0084242072913691,45.17546688368056,45.66133355034722,1.092235274177911,0.0106406587124955,76.0,270.0,346.0,5
CMCSA,sp500,2025-02-05,Telecom Services,Communication Services,236277530624.0,2.303,0.11924,1.4997764,117.127,0.16884,0.719,4.18,239402000000.0,-12780000000.0,23297000000.0,2024-12-31,3333000000.0,0.0974,0.6032108532199147,33.54999923706055,38.56448745727539,0.0986001501643999,0.1028011402246913,0.0141062926770805,7.475358669153241,8.026315606952284,0.8699713505651989,0.0686438167621781,365.0,171.0,536.0,0
UBER,sp500,2025-02-05,Software - Application,Technology,152857231360.0,4.304,0.10492,9.930239,80.343,0.34326,1.415,2.11,31786000000.0,4496000000.0,2681000000.0,2024-09-30,1915000000.0,-0.0885,0.9567932839156706,69.75,58.47999954223633,0.0175392421813912,0.0738933906620362,0.0125280301295652,31.01706161137441,33.056872037914694,1.192715467612548,0.0617060931899641,28.0,1.0,29.0,1
UNP,sp500,2025-02-05,Railroads,Industrials,174684307456.0,1.595,0.27326,8.911253,197.154,0.43396,0.773,11.1,63421000000.0,-1217000000.0,9625000000.0,2024-09-30,1414500000.0,0.152,0.5601151866806353,243.5,232.28668212890625,0.0550993969645749,0.1547328146099929,0.0080974646240406,21.793243243243243,21.936936936936934,1.048273615036057,0.0065503080082135,265.0,257.0,522.0,2
T,sp500,2025-02-05,Telecom Services,Communication Services,324287561728.0,0.369,0.07419,1.6998458,125.151,0.08759,0.733,1.49,363920000000.0,-10859000000.0,24644000000.0,2024-09-30,4833000000.0,0.0622,-0.1618959446583869,24.25,18.4362735748291,0.0759942807201173,0.0698009692376104,0.0149034393247982,16.02751677852349,16.2751677852349,1.3153417311570128,0.0152164948453608,331.0,102.0,433.0,4
LMT,sp500,2025-02-05,Aerospace & Defense,Industrials,135562297344.0,13.293,0.09363,14.870853,268.347,0.81037,1.303,22.23,33768000000.0,2429000000.0,7044000000.0,2024-12-31,1262000000.0,0.2266,0.0939644108454968,453.6799926757813,538.975341796875,0.0519613501542047,0.1946017625770091,0.0093093730685131,19.81048100205944,20.40845671056146,0.841745359190775,0.0293003884116612,247.0,314.0,561.0,0
REGN,sp500,2025-02-05,Biotechnology,Healthcare,64653578240.0,91.054,0.33613998,2.562307,9.221,0.17166,5.281,42.24,18108300000.0,15672600000.0,4090600000.0,2024-09-30,596200000.0,0.25,1.0100385884445915,697.0499877929688,1071.280029296875,0.0632695066747167,0.1210920964213505,0.0092214540359522,14.346495923128996,16.502130392825965,0.6506701970823364,0.130627647363282,298.0,296.0,594.0,0
BLK,sp500,2025-02-05,Asset Management,Financial Services,151523737600.0,92.175,0.31372,3.649292,32.503,0.1505,2.559,42.05,105820000000.0,25547000000.0,7142000000.0,2024-09-30,1322500000.0,0.0483,0.9011545501968782,1015.6599731445312,821.80322265625,0.0471345289729706,0.0543667739995584,0.0087280053999935,21.96159270260479,24.153625996302765,1.2358919326961184,0.0907537979611639,219.0,66.0,285.0,1
COP,sp500,2025-02-05,Oil & Gas E&P,Energy,127270780928.0,5.901,0.17472,2.32072,36.695,0.20376,1.299,8.61,82715000000.0,3219000000.0,13904000000.0,2024-09-30,2398500000.0,0.1528,0.1455253037592326,100.58000183105467,103.09855651855467,0.1092473849741348,0.1617985896152861,0.0188456453438192,10.996399748089976,11.681765601748513,0.9755713874903116,0.0586697145811547,371.0,265.0,636.0,2
HON,sp500,2025-02-05,Conglomerates,Industrials,166992805888.0,16.792,0.15015,8.35139,177.821,0.31865,1.442,8.7,45328000000.0,8630000000.0,7906000000.0,2024-09-30,1415000000.0,0.1639,0.5797835894202265,223.5500030517578,197.6501922607422,0.0473433568467761,0.1465213684717743,0.0084734189145191,23.7652877070986,25.695402649627336,1.1310386319121224,0.0751151857336911,221.0,261.0,482.0,2
SYK,sp500,2025-02-05,Medical Devices,Healthcare,161960411136.0,12.287,0.16337,7.423896,79.443,0.18868,1.913,7.77,29160000000.0,7004000000.0,4371000000.0,2024-09-30,892500000.0,0.0968,0.5658004353544261,392.3900146484375,314.5074462890625,0.0269880767117195,0.1208660546399734,0.0055106059174581,48.91930690456082,50.5006453858993,1.2476334639396534,0.0313132331132548,61.0,186.0,247.0,1
TJX,sp500,2025-02-05,Apparel Retail,Consumer Cyclical,142452490240.0,4.655,0.08563,19.425644,162.567,0.66199,1.214,4.27,18084000000.0,2335000000.0,6244000000.0,2024-10-31,845000000.0,0.2158,0.5263497741548127,125.13999938964844,108.17970275878906,0.043832157580961,0.3057936235858759,0.0059318022350916,28.21662749172095,29.30679142614718,1.156778916916385,0.0371983380430243,189.0,342.0,531.0,2
NKE,sp500,2025-02-05,Footwear & Accessories,Consumer Cyclical,116595023872.0,6.916,0.10599,7.9908347,86.962,0.3798,2.356,3.25,12979000000.0,13734000000.0,5475000000.0,2024-11-30,597000000.0,0.2278,0.3829674763289495,76.72000122070312,70.74177551269531,0.0469574070846329,0.2049563882753715,0.0051202871286805,21.47815422175481,23.606154221754807,1.084507713648422,0.0901459839671339,218.0,317.0,535.0,2
VRTX,sp500,2025-02-05,Biotechnology,Healthcare,119450828800.0,25.335,-0.045149997,7.952379,11.35,-0.029849999,2.468,-1.93,12436100000.0,5831000000.0,4238700000.0,2024-09-30,-1264100000.0,0.2858,0.7207885000758153,482.2799987792969,476.9100036621094,0.0354848940152351,0.2320401158366681,-0.0105825971464502,-236.7590667250243,-249.88600973020564,1.0112599758360117,0.0525317244424932,120.0,340.0,460.0,2
MU,sp500,2025-02-05,Semiconductors,Technology,121170362368.0,7.311,0.03098,2.2277923,31.194,0.01743,2.635,3.52,46968000000.0,15478000000.0,4564000000.0,2024-11-30,161500000.0,0.0557,2.216669333970386,90.66000366210938,90.20111083984376,0.03766597632298,0.0730871472952631,0.0013328341753201,23.67869422219016,25.7556828585538,1.0050874409194406,0.0806419557101294,134.0,97.0,231.0,5
BSX,sp500,2025-02-05,Medical Devices,Healthcare,161604091904.0,1.698,0.112629995,7.3672976,53.722,0.08916,1.482,1.21,29319000000.0,2851000000.0,2827000000.0,2024-09-30,641500000.0,0.0604,0.5495793585203483,103.54000091552734,72.95999908447266,0.0174933689283026,0.0878769039477774,0.003969577703398,84.1669429053945,85.57024869051847,1.4191338022859532,0.0163994590012154,27.0,119.0,146.0,1
