ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,avg_growth,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PEG,PriceIndex_6m,percenFCFpersharetoprice
WMT,US,2025-02-03,Discount Stores,Consumer Defensive,736540164096.0,1.096,0.02339,9.4909725,69.566,0.18531999,0.803,2.42,176461000000.0,-15620000000.0,28743000000.0,2024-10-31,4250500000.0,0.1525,0.034883400315751094,0.3439141794940716,98.16000366210938,67.24889373779297,0.039024348434926165,0.17870443481450626,0.005770900498300584,40.10909242235925,40.561984984342715,11.627875900053109,1.459652318517543,0.011165443756223756
UNH,US,2025-02-03,Healthcare Plans,Healthcare,550896926720.0,40.351,0.03635,5.376144,74.683,0.15252,0.908,15.52,207051000000.0,-9307000000.0,27373000000.0,2024-09-30,3274000000.0,0.1649,0.0934980061985562,0.2808385434253391,542.489990234375,565.7760620117188,0.0496880608192477,0.1384264503600615,0.0059430355139084845,32.354316381080864,34.954251948091176,3.7385023883676083,0.9588422463570729,0.07438109592135872
XOM,US,2025-02-03,Oil & Gas Integrated,Energy,505002524672.0,6.126,0.09802,1.7467928,15.394,0.14513999,1.348,7.84,367567000000.0,24356000000.0,40337000000.0,2024-09-30,8194500000.0,0.0837,0.8036010246099901,0.22981369826692927,106.83000183105469,112.92545318603516,0.07987484820239057,0.10292072677541252,0.016226651550548865,12.844898192736567,13.626275743756976,0.16956518628594566,0.9460223432095621,0.05734344187027073
V,US,2025-02-03,Credit Services,Financial Services,647509377024.0,8.124,0.54955,21.705437,53.239,0.50708,1.283,9.91,59266000000.0,3531000000.0,24372000000.0,2024-12-31,5099250000.0,0.3047,0.12927003424655661,0.48345158755968615,341.79998779296875,255.44114685058594,0.03763960934745915,0.3881077121518544,0.007875175527861114,33.67063448970421,34.490412491722374,2.668090303584112,1.33807725187241,0.023768286395963182
MA,US,2025-02-03,Credit Services,Financial Services,510720671744.0,12.422,0.45262,69.19439,244.839,1.7757801,1.289,13.89,24937000000.0,5006000000.0,15791000000.0,2024-09-30,3215750000.0,0.4674,0.17611754312567604,0.5564873215589519,555.4299926757812,440.76348876953125,0.03091905394406138,0.5273686671342217,0.006296494694485174,39.0934479968165,39.9877604518201,2.2705154604209508,1.2601542705507702,0.02236465470681026
PG,US,2025-02-03,Household & Personal Products,Consumer Defensive,405945352192.0,5.162,0.17063,7.9953322,69.338,0.28766,0.754,6.27,96997000000.0,-8155000000.0,19883000000.0,2024-12-31,3867750000.0,0.2144,0.03203057648193675,-0.08461165491041085,165.99000549316406,166.06504821777344,0.0489794990696086,0.22380180545237613,0.009527760273926402,25.650399600185658,26.47368508662904,8.265129134206669,0.9995481124690913,0.03109825790211559
COST,US,2025-02-03,Discount Stores,Consumer Defensive,436734459904.0,25.152,0.02895,18.664928,42.118,0.30267,0.966,17.05,35863000000.0,-766000000.0,9497000000.0,2024-11-30,1253500000.0,0.2416,0.10163538589068592,0.6629417617401796,979.8800048828125,800.7659912109375,0.021745478939508383,0.2705929281704989,0.00287016508904641,55.995777412481665,57.470968028317444,5.654621913880509,1.223678347529488,0.025668449069953237
JNJ,US,2025-02-03,Drug Manufacturers - General,Healthcare,372143357952.0,8.43,0.16744,5.197983,50.958,0.20889,1.029,5.8,125038000000.0,1490000000.0,22815000000.0,2024-09-30,4756250000.0,0.166,0.05534701849261342,-0.09030444873447549,152.14999389648438,158.76144409179688,0.06130701922387323,0.18031581942336875,0.012780692973199519,24.779309292497306,26.232757568359375,4.739687571763307,0.9583560716952806,0.055405851713246676
ORCL,US,2025-02-03,Software - Infrastructure,Technology,601787858944.0,3.938,0.20396,52.97088,749.978,1.55578,0.72,4.1,124980000000.0,-5549000000.0,17286000000.0,2024-11-30,2385500000.0,0.1486,-0.0011091602764108787,1.656846496023518,170.05999755859375,127.26034545898438,0.028724408017026092,0.14473629124766602,0.003964021481234279,40.51756038014482,41.47804818502287,-373.9590126617345,1.3363156994839651,0.023156533320795633
HD,US,2025-02-03,Home Improvement Retail,Consumer Cyclical,470119186432.0,1.545,0.0945,69.91779,1095.368,4.04933,1.133,14.75,64315000000.0,3857000000.0,21174000000.0,2024-10-31,4157500000.0,0.4419,0.04663054737512712,0.588519698629083,411.9800109863281,346.07452392578125,0.045039642310073416,0.3105967259285337,0.008843502073492502,27.826102439751057,27.930848202462922,5.9898177857035675,1.1904372685771025,0.003750181947665592
ABBV,US,2025-02-03,Drug Manufacturers - General,Healthcare,374475194368.0,4.122,0.09222999,55.23,1174.815,0.56407,0.645,2.39,115637000000.0,-15277000000.0,15005000000.0,2024-09-30,3905750000.0,0.1379,-0.014487658851118523,0.12248404769162215,183.89999389648438,181.19078063964844,0.040069409738404345,0.14951175767237943,0.010429929829108483,75.22091794831981,76.94560414078843,-53.111137507802255,1.0149522688034773,0.022414356371975933
KO,US,2025-02-03,Beverages - Non-Alcoholic,Consumer Defensive,304048963584.0,4.217,0.2245,10.273038,167.358,0.3723,1.06,2.41,75978000000.0,1719000000.0,13518000000.0,2024-09-30,853000000.0,0.1559,0.093964413089075,-0.01723903322772428,63.47999954223633,67.1271743774414,0.04445994434796146,0.17398355148847447,0.0028054691913604914,24.590456241591838,26.34024877271217,2.803215377692247,0.9456676842272875,0.06643037224967566
NFLX,US,2025-02-03,Entertainment,Communication Services,381036494848.0,21.579,0.20701,18.380335,81.461,0.34714,1.133,19.83,40529995000.0,2344979000.0,10417614000.0,2024-12-31,1730456500.0,0.1819,0.14091621237314744,1.195948927427603,976.760009765625,598.5499877929688,0.027340200061822716,0.24297656716946348,0.004541445565969474,48.168482590298794,49.25668228772693,3.495458858722003,1.6318770857672702,0.02209242780647614
MRK,US,2025-02-03,Drug Manufacturers - General,Healthcare,273574592512.0,5.769,0.19229001,5.617888,85.572,0.28332,1.364,4.78,77171000000.0,10775000000.0,14159000000.0,2024-09-30,3710000000.0,0.1249,-1.4437327491794905,0.048981711435717765,98.81999969482422,110.67764282226562,0.05175553720098819,0.16099652059218156,0.013561200862749218,19.46673633782933,20.67364010351971,-0.14319575499876316,0.8928632483935054,0.058378870854238187
CVX,US,2025-02-03,Oil & Gas Integrated,Energy,302887305216.0,2.617,0.087019995,1.7268376,16.456,0.103520006,1.069,9.73,221045000000.0,2469000000.0,21908000000.0,2024-09-30,4690000000.0,0.0853,0.4828979067435602,0.328268108120992,149.19000244140625,141.6143035888672,0.07233053225646616,0.09801623164544503,0.015484306932756358,15.064029027893756,15.332991001172276,0.3175203451299026,1.0534952943350464,0.017541389886549644
CRM,US,2025-02-03,Software - Application,Technology,316399091712.0,13.218,0.15445,5.495589,21.148,0.09734,1.041,6.08,69970000000.0,2050000000.0,7343000000.0,2024-10-31,2968500000.0,0.0311,0.5216829820868604,1.1640510639507025,341.70001220703125,238.36337280273438,0.023208031224956592,0.10195778950291585,0.00938213818484048,54.026646744577505,56.200659902472246,1.0772952507987852,1.433525663734489,0.03868305392974759
ADBE,US,2025-02-03,Software - Infrastructure,Technology,240642179072.0,17.072,0.25588,13.43705,41.788,0.35355,1.111,12.38,18998000000.0,711000000.0,7741000000.0,2024-11-30,1968250000.0,0.3269,0.09082862906859275,1.143585438503858,437.45001220703125,509.32000732421875,0.03216809301616196,0.39276472677456997,0.008179156320767444,33.95622069523677,35.335219079727885,3.89031734179794,0.8588902967021339,0.03902617333090932
AMD,US,2025-02-03,Semiconductors,Technology,185858506752.0,2.8,0.07516,3.2601976,3.927,0.03262,2.498,1.12,50901000000.0,11235000000.0,1371000000.0,2024-09-30,389000000.0,0.1706,-1.1378232576407454,2.1304812694623303,115.94999694824219,134.82000732421875,0.007376579226633902,0.022064503669370412,0.0020929900212695754,101.02678298950195,103.52678298950194,-0.9098669964275711,0.8600355336682526,0.024148340437213336
PEP,US,2025-02-03,Beverages - Non-Alcoholic,Consumer Defensive,243860029440.0,5.868,0.1018,10.619353,229.605,0.48819,0.886,6.78,73661000000.0,-3463000000.0,13241000000.0,2024-09-30,1550250000.0,0.1689,0.07694733865118897,0.009124074655184803,150.69000244140625,171.26644897460938,0.05429754121824156,0.18862360751018548,0.006357130373353899,21.36017735123986,22.225664076903577,2.8884253135322897,0.8798571077032512,0.038940871357950185
TMO,US,2025-02-03,Diagnostics & Research,Healthcare,246323118080.0,17.373,0.14479999,4.652767,72.329,0.12944001,1.629,16.56,76580000000.0,9182000000.0,7406000000.0,2024-09-30,1943750000.0,0.113,-0.045452986966686974,0.5373913435485339,597.75,597.206298828125,0.030066199460802148,0.08635526223735454,0.007891057953272235,35.04692028985507,36.096014492753625,-7.941395472911124,1.0009104076312354,0.029063989962358847
TMUS,US,2025-02-03,Telecom Services,Communication Services,363986026496.0,8.405,0.12964,4.2584467,182.272,0.16087,1.075,9.67,189631000000.0,-1770000000.0,18010000000.0,2024-12-31,2495500000.0,0.0633,0.2632904292729527,0.3966819702231613,232.97000122070312,185.59365844726562,0.049479921450220614,0.09586875402558274,0.0068560324252651605,23.222854314447066,24.092037354777986,0.9150365784774431,1.255269189528364,0.036077606369746974
LIN,US,2025-02-03,Specialty Chemicals,Basic Materials,230928564224.0,10.893,0.19328,5.459225,54.828,0.1619,0.958,13.16,69086000000.0,-589000000.0,8713000000.0,2024-09-30,1235750000.0,0.0915,0.22075258626256453,0.5836849435010774,446.1199951171875,440.8624572753906,0.037730282649436196,0.12720265121100194,0.005351221942389623,33.0719601152878,33.89969567759783,1.5356420620720304,1.0119255739631117,0.024417197433929432
ACN,US,2025-02-03,Information Technology Services,Technology,217196363776.0,8.018,0.111940004,8.516588,14.127,0.26674998,1.099,11.93,34669733000.0,8011369000.0,9979437000.0,2024-11-30,2263795250.0,0.2793,0.06833560500304497,0.5664039107779153,384.95001220703125,312.4681091308594,0.045946611750333176,0.23381394885258586,0.010422804556409187,31.595306974604462,32.26739414979306,4.721900705840719,1.2319657621309987,0.02082867838873535
CSCO,US,2025-02-03,Communication Equipment,Technology,255110004736.0,4.679,0.17731,5.349401,70.647,0.20761,0.882,2.33,87581000000.0,-4790000000.0,11594000000.0,2024-10-31,2854250000.0,0.1931,-0.026516064060370024,0.8955369154962955,60.599998474121094,44.10016632080078,0.04544706120796017,0.14003937626070467,0.011188310716993298,24.000428529665705,26.008583036103474,-9.808613743310037,1.3741444427509522,0.07721122306625375
DHR,US,2025-02-03,Diagnostics & Research,Healthcare,177797611520.0,3.637,0.16393,3.0589032,36.69,0.07586,1.371,5.28,70555000000.0,2721000000.0,4056000000.0,2024-09-30,1252500000.0,0.0788,0.020828575898069263,0.5498930392558584,222.74000549316406,268.74334716796875,0.022812454933027887,0.05535236639554561,0.007044526578801141,41.49678134340228,42.18560710097804,20.253716484230928,0.8288205376632007,0.016328454297859035
ABT,US,2025-02-03,Medical Devices,Healthcare,210057101312.0,4.49,0.13992,5.551778,37.589,0.14840001,1.597,7.64,50554000000.0,8900000000.0,6694000000.0,2024-09-30,1621500000.0,0.1187,0.021929905557853402,0.14488980412375183,127.93000030517578,107.5560073852539,0.03186752534520284,0.1125912470144986,0.007719329600723992,16.1570681027717,16.744764437850232,7.635584382101317,1.1894268243608601,0.03509731876251972
QCOM,US,2025-02-03,Semiconductors,Technology,194265235456.0,11.971,0.2603,7.2676435,58.765,0.42253,2.402,8.94,29923000000.0,14727000000.0,10099000000.0,2024-09-30,2790250000.0,0.2937,-0.14232965859545924,1.7344369828892199,172.92999267578125,156.32022094726562,0.051985626642330286,0.22618141097424413,0.014363094835009613,18.00436159684354,19.343399628163453,-1.3590561390400586,1.106254786667164,0.06922454465399704
GE,US,2025-02-03,Aerospace & Defense,Industrials,209589895168.0,14.373,0.08926,11.670395,110.224,0.22552,1.134,6.09,88049000000.0,4557000000.0,5093000000.0,2024-09-30,1314750000.0,0.0108,-0.4323787272239812,1.1693269574401428,203.57000732421875,157.8686065673828,0.02429983561906755,0.05499643651599249,0.006272964633844308,31.066832072942326,33.42693059510981,-0.7730937830758257,1.2894901130157836,0.07060470345765932
TXN,US,2025-02-03,Semiconductors,Technology,188821782528.0,9.594,0.31601998,9.5938635,84.399,0.29293,4.306,5.21,19449000000.0,12186000000.0,5497000000.0,2024-09-30,367000000.0,0.3641,0.01105336374107698,1.3777538138745749,184.61000061035156,178.6835479736328,0.029112107334252398,0.17376323692113166,0.0019436316884974768,33.592322573963834,35.433781307169205,32.05701190804812,1.0331673100513612,0.05196901559114148
IBM,US,2025-02-03,Information Technology Services,Technology,257907621888.0,14.819,0.10222,9.694403,245.112,0.26729,1.059,6.42,103798000000.0,1690000000.0,9440000000.0,2024-09-30,2972250000.0,0.072,0.20304409017123573,0.7918471781198898,255.6999969482422,180.2996826171875,0.036602252895416375,0.08948885181252844,0.01152447522970353,37.520404509071994,39.82865996078539,1.9615769130338236,1.4181943819121674,0.05795463502879746
AMGN,US,2025-02-03,Drug Manufacturers - General,Healthcare,204809584640.0,16.764,0.13002,20.485933,802.418,0.5572,1.318,7.82,64117000000.0,6454000000.0,6218000000.0,2024-09-30,1570750000.0,0.1647,-0.05556156723231063,0.6328823666280544,285.4200134277344,320.40887451171875,0.03035990728133923,0.0881098468209321,0.00766931881025468,34.3549889293778,36.49872294472306,-6.569059290951393,0.89079933838504,0.05873449376823214
AMAT,US,2025-02-03,Semiconductor Equipment & Materials,Technology,150907158528.0,11.042,0.27743,7.8077273,35.409,0.4391,2.86,8.6,13189000000.0,12752000000.0,7867000000.0,2024-10-31,1871750000.0,0.3507,0.02837207814723279,2.089835601361157,180.35000610351562,181.11614990234375,0.052131390430629046,0.3032651015766547,0.012403321474326925,19.686977453897168,20.97093094226926,7.391397568216065,0.9957698758545761,0.06122539299312369
VZ,US,2025-02-03,Telecom Services,Communication Services,339618168832.0,1.191,0.07298,1.7389215,182.615,0.10431,0.657,4.14,340523000000.0,-21175000000.0,27706000000.0,2024-09-30,3457500000.0,0.0965,-0.004478689226575345,-0.04367639106727079,39.38999938964844,38.505924224853516,0.08157985214773776,0.08675801946465925,0.010180550739940926,9.226811446774985,9.514492606195276,-21.24392232829824,1.02295945838444,0.03023610100164132
NOW,US,2025-02-03,Software - Application,Technology,232900313088.0,25.664,0.12768,22.719196,24.166,0.16221,1.134,6.82,11196000000.0,829000000.0,1364000000.0,2024-12-31,843750000.0,0.0705,0.41717534884778124,1.3248869467145148,1018.3800048828125,781.27001953125,0.005856582938489313,0.11343035343035343,0.003622794614626362,145.55953150774377,149.3225813611162,3.579372121903611,1.3034930042417663,0.02520080900739329
CAT,US,2025-02-03,Farm & Heavy Construction Machinery,Industrials,222999429120.0,9.859,0.1626,9.127588,195.336,0.53475,1.395,22.06,41327000000.0,12728000000.0,13282000000.0,2024-09-30,2403250000.0,0.1594,0.2926919626268745,1.2408024785003444,371.44000244140625,314.5128173828125,0.05956069059195984,0.2457127000277495,0.010776933418545964,16.39079793478723,16.83771543252068,0.5752708506719573,1.1810011608821152,0.026542644667237297
DIS,US,2025-02-03,Entertainment,Communication Services,244472922112.0,3.279,0.053049996,2.0381165,45.188,0.0546,0.716,2.72,170978000000.0,-9358000000.0,11914000000.0,2024-09-30,2139750000.0,0.0463,0.3172978491352443,0.39005769720078864,113.05999755859375,87.39275360107422,0.04873341348839385,0.07371612424204925,0.008752503064612283,40.36066086713005,41.56617557301241,1.3100049586310099,1.2936999110324867,0.029002300290168027
NEE,US,2025-02-03,Utilities - Regulated Electric,Utilities,232355889152.0,1.1,0.26492,2.9064462,139.015,0.09887999,0.411,3.37,173833000000.0,-17467000000.0,8487000000.0,2024-09-30,1347750000.0,0.0399,0.03238667468128361,0.11641614503961852,71.55999755859375,75.67936706542969,0.036525865692382205,0.054276505122596984,0.005800369445847546,20.90801114498331,21.23442064053227,6.55653006969676,0.9455681295104585,0.015371716566917342
PFE,US,2025-02-03,Drug Manufacturers - General,Healthcare,208552574976.0,1.756,0.071609996,1.6146919,73.408,0.04538,1.0,0.75,176254000000.0,12000000.0,9779000000.0,2024-09-30,2056750000.0,0.1247,-3.0348672459292483,0.23591579778325322,26.520000457763672,28.808855056762695,0.04688985499759644,0.05547865158340236,0.009862021604080834,33.01866727701823,35.36000061035156,-0.11651251189909843,0.9205503101567472,0.06621417683595608
RTX,US,2025-02-03,Aerospace & Defense,Industrials,205254606848.0,5.02,0.05969,2.818469,69.597,0.073460005,0.991,3.55,113058000000.0,-483000000.0,8744000000.0,2024-09-30,1821500000.0,0.0436,0.15845708959091895,0.47460531808944817,128.9499969482422,113.95008850097656,0.04260074906126377,0.07767266266933155,0.008874344054790937,34.90985829527949,36.323942802321746,2.292352011266743,1.131635777072144,0.03892981868014252
SPGI,US,2025-02-03,Financial Data & Stock Exchanges,Financial Services,176536518656.0,5.466,0.25792,4.7081594,31.362,0.099309996,0.945,11.31,55166000000.0,-303000000.0,5108000000.0,2024-09-30,1286000000.0,0.2343,0.0018191651444475765,0.6257952995109629,521.4099731445312,470.3107604980469,0.028934523230026283,0.09310464247306928,0.00728461176073097,45.61838843010886,46.1016775547773,253.42216838030356,1.1086498905369966,0.010483113637116532
CMCSA,US,2025-02-03,Telecom Services,Communication Services,236277530624.0,2.303,0.11924,1.5009208,117.127,0.16884,0.719,4.14,239402000000.0,-12780000000.0,23297000000.0,2024-12-31,3135750000.0,0.0974,0.03626047578197109,0.5894883812853632,33.65999984741211,38.56448745727539,0.09860015016439992,0.10280114022469133,0.013271469325579132,7.574154552515003,8.130434745751717,2.2422305748658196,0.8728237315406606,0.0684194893178843
UBER,US,2025-02-03,Software - Application,Technology,146750668800.0,4.304,0.10492,9.725227,80.343,0.34326,1.415,2.03,31786000000.0,4496000000.0,2681000000.0,2024-09-30,1489250000.0,-0.0885,0.42975586140294914,0.9503096119483099,66.8499984741211,58.47999954223633,0.01826908198731153,0.07389339066203628,0.010148164994257252,30.81083668675916,32.93103373109414,0.7662730561391281,1.1431258378488813,0.06438294836560333
UNP,US,2025-02-03,Railroads,Industrials,174684307456.0,1.595,0.27326,8.962854,197.154,0.43396,0.773,11.1,63421000000.0,-1217000000.0,9625000000.0,2024-09-30,1381250000.0,0.152,0.042502272265048234,0.5460369785587748,247.7899932861328,232.28668212890625,0.05509939696457493,0.1547328146099929,0.00790712125270848,22.179729124876832,22.323422818570524,5.252289260997512,1.0667421438678222,0.006436902389993574
T,US,2025-02-03,Telecom Services,Communication Services,324287561728.0,0.369,0.07419,1.7008972,125.151,0.08759,0.733,1.49,363920000000.0,-10859000000.0,24644000000.0,2024-09-30,5058000000.0,0.0622,-0.01244389908879004,-0.14202420136332936,23.729999542236328,18.4362735748291,0.0759942807201173,0.06980096923761049,0.015597267971204079,15.678523182708945,15.926174189420355,-12.79837941129504,1.2871364403398042,0.015549937088840973
LMT,US,2025-02-03,Aerospace & Defense,Industrials,135562297344.0,13.293,0.09363,15.037695,268.347,0.81037,1.303,22.31,33768000000.0,2429000000.0,7044000000.0,2024-12-31,1321750000.0,0.2266,-0.09572635207133758,0.08139027167079675,462.95001220703125,538.9752807617188,0.051961350154204715,0.19460176257700915,0.00975012983621807,20.15495348305833,20.75078494876877,-2.1677191807439593,0.8589447953025914,0.028713683226031256
REGN,US,2025-02-03,Biotechnology,Healthcare,65313103872.0,91.054,0.33613998,2.4557786,9.221,0.17166,5.281,40.45,18108300000.0,15672600000.0,4090600000.0,2024-09-30,829825000.0,0.25,-0.12615776107263688,0.9835248623016224,672.97998046875,1071.280029296875,0.0626306170966353,0.12109209642135052,0.012705337073342635,14.386303596260815,16.63732955423362,-1.3187717832638512,0.6282017419016523,0.13529971565659094
BLK,US,2025-02-03,Asset Management,Financial Services,151523737600.0,92.175,0.31372,3.6698084,32.503,0.1505,2.559,42.05,105820000000.0,25547000000.0,7142000000.0,2024-09-30,1011750000.0,0.0483,-0.007222661214997354,0.8515280789631315,1075.5,821.80322265625,0.04713452897297064,0.05436677399955849,0.006677171616970462,23.384661117717005,25.576694411414984,-35.41173211655941,1.3087074500921836,0.08570432357043235
COP,US,2025-02-03,Oil & Gas E&P,Energy,125256679424.0,5.901,0.17472,2.2655747,36.695,0.20376,1.299,8.43,82715000000.0,3219000000.0,13904000000.0,2024-09-30,2311500000.0,0.1528,0.32683640606976355,0.12890057746076633,98.83000183105469,103.09855651855469,0.11100406033385476,0.16179858961528615,0.018454105686256134,11.023606385652988,11.723606385652989,0.3586995257545016,0.9585973380070381,0.05970858940271483
HON,US,2025-02-03,Conglomerates,Industrials,167103348736.0,16.792,0.15015,8.297781,177.821,0.31865,1.442,8.66,45328000000.0,8630000000.0,7906000000.0,2024-09-30,1409000000.0,0.1639,0.0388883802482226,0.577511277617199,223.72000122070312,197.6501922607422,0.0473120380878206,0.14652136847177435,0.008431907622785128,23.894688362667797,25.833718385762484,6.643043042900512,1.1318987280597703,0.07505810794017671
SYK,US,2025-02-03,Medical Devices,Healthcare,161960411136.0,12.287,0.16337,7.4025164,79.443,0.18868,1.913,7.75,29160000000.0,7004000000.0,4371000000.0,2024-09-30,801250000.0,0.0968,0.1680847426354006,0.5701248322060369,391.2900085449219,314.5074462890625,0.026988076711719516,0.12086605463997345,0.004947196628978555,48.90361400579637,50.489033360635084,3.0037844345071156,1.2441359120804054,0.031401261805000566
TJX,US,2025-02-03,Apparel Retail,Consumer Cyclical,142452490240.0,4.655,0.08563,19.37597,162.567,0.66199,1.214,4.24,18084000000.0,2335000000.0,6244000000.0,2024-10-31,1091500000.0,0.2158,0.35361426351638725,0.5243130407514238,124.79000091552734,108.17970275878906,0.04383215758096108,0.3057936235858759,0.007662203715505928,28.3337266310206,29.431603989511164,0.8323081681389031,1.1535435736385287,0.03730266820937886
NKE,US,2025-02-03,Footwear & Accessories,Consumer Cyclical,116595023872.0,6.916,0.10599,7.8153324,86.962,0.3798,2.356,3.24,12979000000.0,13734000000.0,5475000000.0,2024-11-30,1379500000.0,0.2278,-0.03499675015434564,0.38244739835674957,76.9000015258789,70.74177551269531,0.046957407084632946,0.20495638827537155,0.011831551246255918,21.600000470950278,23.734568372184846,-6.781934970392575,1.0870521833605722,0.08993497870962436
VRTX,US,2025-02-03,Biotechnology,Healthcare,114145722368.0,25.335,-0.045149997,7.6390033,11.35,-0.029849999,2.468,-1.89,12436100000.0,5831000000.0,4238700000.0,2024-09-30,-337875000.0,0.2858,0.11924473052715094,0.7322417373101799,461.67999267578125,476.9100036621094,0.037134111660659934,0.23204011583666811,-0.0029600320799644878,-230.87036649512237,-244.27512839988427,-20.48519270579131,0.96806523061085,0.05487567233131482
MU,US,2025-02-03,Semiconductors,Technology,121170362368.0,7.311,0.03098,2.21526,31.194,0.01743,2.635,3.49,46968000000.0,15478000000.0,4564000000.0,2024-11-30,138500000.0,0.0557,2.821609511017091,2.2253062338896683,91.23999786376953,90.20111083984375,0.03766597632298004,0.07308714729526311,0.0011430187819309236,24.048423456667486,26.143265863544276,0.09265373454925926,1.0115174526594286,0.08012933111765365
