ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice
ACIW,US,2025-02-05,Software - Infrastructure,Technology,6489593856.0,1.696,0.14042,4.2353497,77.836,0.17883,1.557,2.12,2007385000.0,388306000.0,358163000.0,2024-09-30,47587000.0,0.081,1.262610449328377,53.70000076293945,43.54999923706055,0.0551903567384048,0.14950300351756549,0.007332816360457304,24.530189039122384,25.33018903912238,1.2330654811410737,0.031582867335273455
ACLS,US,2025-02-05,Semiconductor Equipment & Materials,Technology,1645449216.0,17.825,0.20646,2.2038982,7.644,0.25002,4.448,6.81,216032000.0,869829000.0,235313000.0,2024-09-30,39956000.0,0.2157,2.1792687605696734,66.1500015258789,109.27999877929688,0.14300836374156442,0.21670637402024753,0.024282730582917,7.09618230923332,9.713656611729649,0.6053257893924048,0.26946333467621436
ACLX,US,2025-02-05,Biotechnology,Healthcare,3153014528.0,10.62,-0.25942,7.569864,13.526,-0.10792,4.286,-0.74,177608000.0,450284000.0,-69420000.0,2024-09-30,-5516500.0,-0.5135,2.100691191930373,67.72000122070312,51.09000015258789,-0.02201702509884534,-0.11056041484841342,-0.0017495954906047296,-77.16216381176099,-91.51351516311233,1.325504032461289,0.15682220626944243
ACMR,US,2025-02-05,Semiconductor Equipment & Materials,Technology,1279400448.0,5.974,0.1238,1.4577465,16.483,0.118590005,2.369,1.38,348861000.0,835279000.0,130383000.0,2024-09-30,13280000.0,0.0758,1.6992488977554558,20.700000762939453,15.010000228881836,0.10190945313784977,0.1101077575286706,0.01037986192732676,10.6710150456083,15.000000552854678,1.37908064272438,0.2885990231795372
ACRS,US,2025-02-05,Diagnostics & Research,Healthcare,53814664.0,1.788,-1.3665199,1.377607,1.725,-0.25833,7.033,-0.54,50064000.0,113514000.0,-62174000.0,2024-09-30,4846000.0,-0.5548,1.724837242096674,2.509999990463257,1.2400000095367432,-1.1553356534939994,-0.3800877868662045,0.09004980501225465,-1.3370370193764014,-4.648148130487512,2.0241935251282603,0.7123506003161374
ACTG,US,2025-02-05,Business Equipment & Supplies,Industrials,118537112.0,4.22,0.31444,0.78682524,12.508,0.10132,16.392,0.59,249926000.0,429727000.0,41092000.0,2024-09-30,-71781000.0,-0.0232,1.0253108698347333,4.300000190734863,4.670000076293945,0.3466593652121371,0.060460264281920334,-0.60555718617474,0.13559354361841278,7.288135916499769,0.9207709037442438,0.9813953053055117
ACVA,US,2025-02-05,Auto & Truck Dealerships,Consumer Cyclical,3365575680.0,1.716,-0.12886,7.638228,34.273,-0.16636999,1.514,-0.48,395121000.0,216990000.0,-85073000.0,2024-09-30,3978500.0,-0.162,2.0657400274425877,20.860000610351562,15.149999618530273,-0.02527739919965193,-0.13898296224050866,0.0011821157443115348,-39.88333460489909,-43.45833460489909,1.3768977647258334,0.08226270133225463
ADAP,US,2025-02-05,Biotechnology,Healthcare,739739264.0,0.14,-0.51252,3.2873566,49.18,-0.65044,3.092,-0.16,73222000.0,180757000.0,-45097000.0,2024-09-30,-4120500.0,-0.4979,0.7162536001899669,0.5720000267028809,0.9800000190734863,-0.06096337208889861,-0.17756192441107335,-0.005570205882704098,-2.7000001668930054,-3.5750001668930054,0.5836734852757067,0.24475523332924856
ADEA,US,2025-02-05,Software - Application,Technology,1808366464.0,0.816,0.12014,3.6027713,141.169,0.114379995,3.423,0.36,838455000.0,173212000.0,106410000.0,2024-09-30,18645500.0,0.1174,1.4567358400194617,12.479999542236328,9.848773956298828,0.05884316155953664,0.10518283190022013,0.010310686672853495,32.39999872843424,34.666665395100914,1.2671627552437315,0.06538461778290887
ADMA,US,2025-02-05,Biotechnology,Healthcare,4019672320.0,0.367,0.17798,17.227318,48.033,0.35548002,7.088,0.28,72425000.0,273302000.0,114893236.0,2024-09-30,33605500.0,-0.1583,1.9096094535849284,16.899999618530273,11.300000190734863,0.028582736813731125,0.3323235847937824,0.008360258579485405,59.04642720903668,60.35714149475097,1.4955751622364557,0.021715976821537735
ADPT,US,2025-02-05,Biotechnology,Healthcare,1068657792.0,1.649,-1.1013,4.8614774,100.425,-0.66761,3.519,-1.28,250161000.0,220718000.0,-167146000.0,2024-09-30,-23220500.0,-0.2573,3.0706870110327786,7.369999885559082,4.320000171661377,-0.15640741241139988,-0.35496592542882566,-0.02172865829812805,-4.469531160593033,-5.757812410593033,1.7060184242364838,0.22374491527891094
ADTN,US,2025-02-05,Communication Equipment,Technology,1371806208.0,1.12,-0.56988996,3.8450184,33.893,-0.57579,2.096,-6.62,634290000.0,334032000.0,-147001000.0,2024-09-30,13559500.0,-0.0563,1.6926917139972724,10.420000076293945,5.760000228881836,-0.10715872194099299,-0.15181003839631857,0.009884413644525511,-1.404833848382771,-1.5740181384129825,1.8090277191389514,0.10748560381952968
ADUS,US,2025-02-05,Medical Care Facilities,Healthcare,2032919808.0,12.428,0.064959995,2.327896,5.251,0.09026,2.109,4.29,820087000.0,174996000.0,103749000.0,2024-09-30,32167500.0,0.0819,0.8602664365123671,123.0199966430664,117.70999908447266,0.05103447740128469,0.10426165455544914,0.015823300001020012,25.779020196518974,28.675989893488673,1.045110845296865,0.10102422646018225
ADV,US,2025-02-05,Advertising Agencies,Communication Services,2357677568.0,0.624,-0.03295,0.91752577,182.456,-0.17252001,1.901,-0.59,2416161000.0,462264000.0,20376000.0,2024-09-30,6042500.0,0.0289,1.2548871958985406,2.6700000762939453,3.5399999618530273,0.008642403132878262,0.007078871257719065,0.002562903461445666,-3.467796739481263,-4.525423858125332,0.7542373178152022,0.23370785849045148
ADXN,US,2025-02-05,Biotechnology,Healthcare,793439168.0,0.039,5.00165,893.3334,0.254,-1.26288,4.974,-23.21,8096289.0,3184405.0,-4992134.0,2024-09-30,-1578446.0,-2.8914,0.9816396230514025,8.039999961853027,7.199999809265137,-0.006291766528974783,-0.4425378438596065,-0.0019893724228143977,-0.3447221008984501,-0.346402411109566,1.1166666909500411,0.004850746291671802
AEHR,US,2025-02-05,Semiconductor Equipment & Materials,Technology,442672416.0,1.277,0.49635,2.881268,5.474,0.28764,6.026,0.77,53759000.0,76804000.0,-859000.0,2024-11-30,-2005500.0,0.0174,2.406641505354855,11.09000015258789,15.010000228881836,-0.0019404868452431426,-0.006579199313741259,-0.004530438146839491,12.744156042321936,14.402597600763494,0.7388407717175655,0.11514878110276738
AEIS,US,2025-02-05,Electrical Equipment & Parts,Industrials,4202335488.0,17.451,0.02911,3.6043353,56.907,0.03985,4.616,1.2,847152000.0,1054200000.0,63854000.0,2024-09-30,6680000.0,0.1154,1.806097148727715,111.41000366210938,97.68672180175781,0.015194883935930058,0.03358347113001696,0.0015895922681744728,78.2991697184245,92.84166971842448,1.1404825712976747,0.15663763958689375
AENT,US,2025-02-05,Entertainment,Communication Services,326291968.0,0.022,0.00416,3.5581393,125.339,0.05481,1.326,0.17,144020000.0,63701000.0,20194000.0,2024-09-30,-1678500.0,0.0236,0.4093854195501853,6.119999885559082,1.559999942779541,0.06188935671257467,0.09721694003013658,-0.005144165853325572,35.87058756211224,35.99999932681813,3.9230769936149668,0.0035947713090504784
AEYE,US,2025-02-05,Software - Application,Technology,247691600.0,0.45,-0.098929994,32.733223,130.672,-0.43652,0.837,-0.29,17994000.0,-2214000.0,-2612000.0,2024-09-30,515000.0,-0.7092,2.9295683907228116,20.0,20.350000381469727,-0.010545371744540389,-0.16552598225602028,0.002079198487150957,-67.41379310344828,-68.96551724137932,0.9828009643779452,0.0225
AFRM,US,2025-02-05,Software - Infrastructure,Technology,23920871424.0,6.033,-0.17672001,6.591739,251.092,-0.16519,15.203,-1.4,1340489000.0,8662603000.0,-159708000.0,2024-09-30,91611000.0,-0.0839,2.7410498607767915,59.529998779296875,24.559999465942383,-0.006676512622352198,-0.015965863355050618,0.003829751783544389,-38.21214198521206,-42.52142769949777,2.4238599378574,0.10134386231666
AFYA,US,2025-02-05,Education & Training Services,Consumer Defensive,3481628160.0,8.021,0.18028,0.4113489,67.296,0.15281,1.472,1.11,7237407000.0,551035000.0,923809000.0,2024-09-30,253225000.0,0.0964,0.5997905519129699,16.469999313354492,16.8799991607666,0.26533821463576396,0.11861281113732375,0.07273177615842813,7.611711093112154,14.83783721923828,0.9757109083059048,0.48700669911359823
AGAE,US,2025-02-05,Entertainment,Communication Services,858383.0,2.307,-0.79303,0.50720644,40.342,-0.07846,2.874,-0.28,27021555.0,62766218.0,-11054758.0,2024-09-30,-5595843.5,-0.2242,0.3972001552482081,1.1402000188827515,1.2200000286102295,-12.878584501324001,-0.12312097327550378,-6.519052101451217,4.167142789704458,-4.072142924581255,0.9345901574950103,2.023329206975949
AGIO,US,2025-02-05,Biotechnology,Healthcare,995673920.0,17.618,20.51377,1.1922038,3.74,0.53655,8.993,11.8,717605000.0,954738000.0,-406977000.0,2024-09-30,-78692000.0,-0.3747,2.0244565347893717,34.0099983215332,42.59000015258789,-0.4087452647147773,-0.24335737345747852,-0.07903390700441365,1.3891524001299325,2.8822032475875594,0.7985442169449407,0.5180241361213264
AGYS,US,2025-02-05,Software - Application,Technology,3494702080.0,1.988,0.37541,9.943039,28.485,0.46356,1.134,0.77,312651000.0,16260000.0,21490000.0,2024-12-31,12832500.0,0.0077,1.6279696078448775,87.27999877929688,101.47000122070312,0.006149308155045937,0.06533682363922155,0.003671986826413541,110.76882958350244,113.35064776532062,0.8601556886695786,0.022777268879517452
AHCO,US,2025-02-05,Medical Devices,Healthcare,3411076096.0,0.777,-0.0657,0.87492406,142.942,-0.1288,1.236,-1.64,3786145000.0,130766000.0,288160000.0,2024-09-30,100780500.0,0.0493,0.669994982967599,10.079999923706055,10.970000267028809,0.08447774012954767,0.07356817655545403,0.029545075267649497,-5.672560929089059,-6.146341416893936,0.9188696151632996,0.07708333391676504
AIHS,US,2025-02-05,Credit Services,Financial Services,11691159.0,0.106,-0.67006,10.976471,19.636,-0.82334,0.407,-0.38,6573649.0,-3386765.0,-4063465.0,2024-09-30,95580.0,-0.9096,-0.40155662819236565,0.9330000281333923,0.9020000100135803,-0.3475673369937061,-1.2750589604139968,0.008175408443251863,-2.1763158635089273,-2.4552632319299796,1.0343680906603818,0.11361200086142444
AIP,US,2025-02-05,Semiconductors,Technology,338333696.0,1.211,-0.65721,172.36363,277.094,-2.9684799,1.158,-0.86,34935000.0,8562000.0,-33743000.0,2024-09-30,678000.0,-0.3911,2.925668420881837,9.479999542236328,7.03000020980835,-0.09973289802030241,-0.7757546497459595,0.0020039387386351255,-9.615115746786428,-11.02325528167015,1.3485062957764506,0.12774262220210253
AIRG,US,2025-02-05,Communication Equipment,Technology,109127504.0,0.745,-0.23191,2.2992337,3.96,-0.35919997,2.068,-1.2,19989000.0,11166000.0,-12436000.0,2024-09-30,-1249500.0,-0.2186,1.666176097376492,6.900000095367432,6.449999809265137,-0.11395843892846665,-0.3991654630075429,-0.011449909089829452,-5.129166746139527,-5.75000007947286,1.0697674882805253,0.10797101300044663
AIRS,US,2025-02-05,Medical Care Facilities,Healthcare,419203136.0,0.103,-0.04127,3.907563,123.814,-0.09345999,0.509,-0.16,195353000.0,-12455000.0,3709000.0,2024-09-30,-1822500.0,0.0448,2.6924539838431136,5.579999923706055,4.21999979019165,0.008847739154317778,0.020279062646939825,-0.004347534270354314,-34.231249523162845,-34.87499952316284,1.322274929177814,0.018458781614389474
AIRT,US,2025-02-05,Conglomerates,Industrials,202653152.0,3.12,-0.00878,7.912907,911.632,-0.00275,2.275,-0.86,94506000.0,57497000.0,4375000.0,2024-09-30,-6067500.0,0.0194,0.6093767794769877,20.170000076293945,22.200000762939453,0.021588610672090607,0.028782326664605305,-0.029940318914950803,-19.825581484062727,-23.453488460806913,0.9085585307711169,0.15468517541886256
AIRTP,US,2025-02-05,Conglomerates,Industrials,194179808.0,3.12,-0.00878,6.7085133,911.632,-0.00275,2.275,0.336,94506000.0,57497000.0,4375000.0,2024-09-30,-6067500.0,0.0194,0.0371020128350576,17.100000381469727,18.00054359436035,0.022530663950393853,0.028782326664605305,-0.031246812232917646,41.60714399246942,50.89285827818371,0.9499713323561646,0.1824561362806145
AKYA,US,2025-02-05,Medical Instruments & Supplies,Healthcare,194407392.0,0.914,-0.64742994,2.392694,380.682,-1.28202,2.734,-1.11,53112000.0,48868000.0,-44278000.0,2024-09-30,-10450500.0,-0.3202,1.610903500987204,2.619999885559082,2.1500000953674316,-0.22775882925274776,-0.43418317317121,-0.05375567200654592,-1.5369368338370106,-2.360360257260434,1.2186045438808821,0.34885497706995566
ALCO,US,2025-02-05,Farm Products,Consumer Defensive,284641216.0,1.194,0.56129,0.8671174,30.804,0.09702,2.67,0.92,358092000.0,29976000.0,-67454000.0,2024-09-30,-8366000.0,-0.053,1.2490385347573485,30.649999618530273,27.32801628112793,-0.23697903257973715,-0.17382005215580776,-0.029391386523587644,32.01739088970682,33.315216976663336,1.1215596223022022,0.03895595480784722
ALEC,US,2025-02-05,Biotechnology,Healthcare,-255098240.0,4.669,-2.57542,1.4085667,29.125,-1.12551,3.293,-1.78,46659000.0,326839000.0,-185201000.0,2024-09-30,-57040000.0,-0.2651,2.2086272418347215,1.7100000381469727,5.059999942779541,0.7259987368003793,-0.4958553994934377,0.2236001314630787,1.662359529130914,-0.9606741787342543,0.3379446753921585,2.730409295814708
ALGM,US,2025-02-05,Semiconductors,Technology,4441418240.0,1.026,-0.029560002,4.090909,45.248,-0.024449999,4.222,-0.36,946113000.0,394715000.0,22511000.0,2024-12-31,-8111500.0,0.1371,2.3810662825439324,23.940000534057617,21.399999618530273,0.005068426071038065,0.01678887970716602,-0.0018263310415008339,-63.650001483493384,-66.50000148349338,1.1186916336824584,0.0428571419010784
ALGT,US,2025-02-05,Airlines,Industrials,3275319808.0,42.808,-0.0104,1.3536844,175.146,-0.019650001,0.754,-1.54,3857636000.0,-303943000.0,83436000.0,2024-09-30,-10842000.0,0.049,1.132105932844667,99.11000061035156,42.08000183105469,0.02547415363721331,0.02347867415671528,-0.003310211104734967,-36.55974065607244,-64.35714325347504,2.3552755774171383,0.43192412204998926
ALHC,US,2025-02-05,Healthcare Plans,Healthcare,2803912704.0,1.987,-0.05842,25.852844,190.431,-0.9451,1.602,-0.76,118680000.0,215524000.0,-120923000.0,2024-09-30,14353000.0,-0.2799,0.6810491488636293,15.460000038146973,8.829999923706055,-0.04312652096033301,-0.3618239159315867,0.005118918281415939,-17.727631629140753,-20.34210531335128,1.7508493965714813,0.12852522607355446
ALKS,US,2025-02-05,Drug Manufacturers - Specialty & Generic,Healthcare,4521557504.0,5.617,0.22147,3.918868,28.326,0.29229,3.448,2.33,591113000.0,1110473000.0,436523000.0,2024-09-30,106125000.0,0.0602,0.9183961296434152,31.299999237060547,27.850000381469727,0.09654261824909437,0.2565388995913224,0.023470894687531104,11.022746453674054,13.433476067407959,1.123877874626038,0.17945687338385716
ALKT,US,2025-02-05,Software - Application,Technology,3488361216.0,1.005,-0.14547,10.549287,5.525,-0.13906999,3.518,-0.48,253187000.0,120969000.0,-48861000.0,2024-09-30,3579500.0,-0.1455,1.6749189398729893,35.529998779296875,31.020000457763672,-0.014006863674521487,-0.13058991436726927,0.001026126532877953,-71.92708079020181,-74.02083079020183,1.145390014667277,0.028285956502357313
ALLT,US,2025-02-05,Software - Infrastructure,Technology,128972224.0,1.343,-0.4018,6.8619885,88.591,-0.59566003,2.398,-0.68,50842000.0,50465000.0,-25240000.0,2024-09-30,907000.0,-0.256,1.3809653865540916,8.899999618530273,2.5999999046325684,-0.19570105265456228,-0.24914369194626235,0.00703252197930618,-11.113234733132755,-13.088234733132754,3.42307690191551,0.15089888287228714
ALNT,US,2025-02-05,Electronic Components,Technology,633551104.0,2.237,0.02641,1.5206121,93.879,0.05631,4.1,0.88,345581000.0,189668000.0,30636000.0,2024-09-30,8174500.0,0.0728,1.0846869983621643,24.639999389648438,24.236047744750977,0.04835600444317117,0.05723691216611334,0.012902668700897726,25.45795385187322,27.99999930641868,1.0166673893842675,0.09078733991120921
ALOT,US,2025-02-05,Computer Hardware,Technology,155663792.0,0.641,0.04203,0.92010885,51.884,0.071890004,1.866,0.51,83075000.0,37905000.0,7585000.0,2024-10-31,-2587000.0,0.0523,1.2503432179572946,11.15999984741211,14.319999694824219,0.048726809892951854,0.06269631344023806,-0.016619150585770133,20.62548989688649,21.88235264198453,0.779329614891385,0.057437276770988616
ALRM,US,2025-02-05,Software - Application,Technology,3013373440.0,23.683,0.13541001,4.464375,144.413,0.17292999,8.664,2.37,558070000.0,1249846000.0,103373000.0,2024-09-30,47367500.0,0.0601,1.0612987690849283,62.470001220703125,63.959999084472656,0.034304742528028655,0.05717798835786619,0.015719093880378794,16.365823299874737,26.358650304094144,0.9767042231848428,0.37910996537889036
ALTI,US,2025-02-05,Asset Management,Financial Services,971233856.0,2.371,-0.3734,0.9015829,18.666,-0.17981,4.141,-1.63,1099726000.0,244077000.0,-60915000.0,2024-09-30,-20343000.0,-0.0182,1.3554390976213104,3.930000066757202,4.039999961853027,-0.06271918922892243,-0.04533030511168676,-0.020945521899104803,-0.9564417587467499,-2.411042985740615,0.97277230293701,0.6033078777925838
ALTO,US,2025-02-05,Specialty Chemicals,Basic Materials,190651056.0,0.438,-0.03613,0.45731708,39.224,-0.1289,3.218,-0.51,272261000.0,100048000.0,-24198000.0,2024-09-30,-152500.0,0.0047,-0.015193859709326824,1.5750000476837158,1.399999976158142,-0.12692297912055625,-0.0649943998130585,-0.0007998906651741809,-2.2294118582033646,-3.088235387615129,1.1250000532184337,0.2780952296758007
ALTR,US,2025-02-05,Software - Application,Technology,9143354368.0,6.034,0.05096,11.210921,31.008,0.04467,3.27,0.4,690869000.0,476891000.0,29310000.0,2024-09-30,18065500.0,0.0074,0.6929687700633826,110.44999694824219,81.55999755859375,0.0032056069162734653,0.02509933547989313,0.0019758066102333093,261.03999237060543,276.12499237060547,1.3542177569205234,0.05463105628538481
AMBA,US,2025-02-05,Semiconductor Equipment & Materials,Technology,2610536192.0,5.325,-0.79460996,5.5315914,1.233,-0.30462,3.058,-3.93,367179000.0,196740000.0,-142956000.0,2024-10-31,9146500.0,-0.1405,2.2378198905903073,76.43000030517578,41.560001373291016,-0.054761163793893876,-0.2535044926665,0.0035036863415376087,-18.092875395719027,-19.447837227780095,1.8390278580282806,0.06967159464526909
AMCX,US,2025-02-05,Entertainment,Communication Services,2258762240.0,18.503,0.014450001,0.36911297,183.448,0.02396,2.324,0.7,3139696000.0,960220000.0,378079000.0,2024-09-30,74553000.0,0.1336,0.44545664698018633,9.350000381469727,10.119999885559082,0.16738326562427394,0.0922162795530445,0.03300612994132574,-13.075713740757534,13.35714340209961,0.9239130916208684,1.9789304005452366
AMED,US,2025-02-05,Medical Care Facilities,Healthcare,3307322112.0,7.494,0.03573,2.6420317,38.958,0.0721,1.193,2.53,1559167000.0,93926000.0,208929000.0,2024-09-30,77381500.0,0.1505,0.13609920772242787,92.58999633789062,97.69999694824219,0.06317165154308381,0.1263867187145551,0.023397025563139343,33.634781161221596,36.596836497189976,0.9476970238488477,0.08093746945028475
AMKR,US,2025-02-05,Semiconductor Equipment & Materials,Technology,5911131648.0,5.966,0.05682,1.4370335,32.538,0.09133001,2.063,1.5,3784768000.0,1671487000.0,462684000.0,2024-09-30,13525000.0,0.1399,2.1030265231408203,24.260000228881836,27.51569366455078,0.07827333707861957,0.08479882263567227,0.0022880559604142995,12.19600015258789,16.173333485921223,0.8816786712572199,0.2459192062536505
AMLX,US,2025-02-05,Biotechnology,Healthcare,16315253.0,3.419,-1.32054,1.2648497,1.308,-0.84433997,4.549,-4.04,5450000.0,191348000.0,-213089000.0,2024-09-30,-54110000.0,-1.7967,1.509412302956351,3.619999885559082,1.9700000286102295,-13.060722993385392,-1.082780312808057,-3.316528404432343,-0.04975244692056485,-0.8960395756334362,1.8375633669979556,0.9444751679797252
AMPG,US,2025-02-05,Communication Equipment,Technology,11067436.0,0.104,-0.62539,0.75018203,17.042,-0.31504,7.04,-0.93,14898413.0,10072061.0,-5011944.0,2024-09-30,86025.0,-0.193,1.788193633774607,2.059999942779541,0.9900000095367432,-0.4528550244157725,-0.20071481222182647,0.007772803023211519,-2.1032257449242375,-2.215053701913485,2.08080800296506,0.05048543829553395
AMPH,US,2025-02-05,Drug Manufacturers - Specialty & Generic,Healthcare,1975179776.0,5.21,0.21798,2.2063417,86.556,0.23846,3.433,2.99,999229000.0,386939000.0,214255000.0,2024-09-30,54617000.0,0.1158,0.9020310543673092,33.189998626708984,40.40999984741211,0.10847367039869894,0.15456640176371117,0.027651660200068796,9.35785907247792,11.10033398886588,0.8213313227427419,0.15697499896271033
AMPL,US,2025-02-05,Software - Application,Technology,1294751872.0,2.506,-0.27438998,5.454152,1.588,-0.27604,2.547,-0.67,57512000.0,235756000.0,-93467000.0,2024-09-30,5669500.0,-0.2667,1.7895423301173392,12.609999656677246,7.71999979019165,-0.07218912134540632,-0.31870848507167504,0.004378831282353998,-15.08059650250335,-18.820895009966037,1.6334196890391626,0.19873117115217548
AMRK,US,2025-02-05,Capital Markets,Financial Services,1586736896.0,2.024,0.0059100003,1.049816,141.188,0.093710005,1.663,2.42,383475000.0,655926000.0,59407000.0,2024-09-30,-24012000.0,0.2419,0.3034429647921984,27.670000076293945,34.09903335571289,0.03743972939039794,0.057155034486208886,-0.015132943628229591,10.597520692683448,11.433884329047086,0.8114599551150667,0.07314781331475478
AMRN,US,2025-02-05,Drug Manufacturers - General,Healthcare,-70252680.0,0.743,-0.16325001,0.42763156,1.546,-0.07256,3.226,-0.1,100399000.0,448662000.0,-43883000.0,2024-09-30,-2554500.0,-0.0603,1.280652910397863,0.5525000095367432,0.6499999761581421,0.6246452092646145,-0.07992372432206986,0.036361602148131576,1.9049999046325683,-5.525000095367432,0.8500000458497284,1.344796356877869
AMSC,US,2025-02-05,Specialty Industrial Machinery,Industrials,930193408.0,1.828,-0.00491,5.3417726,1.801,-0.00656,2.052,-0.03,103371000.0,99992000.0,1695000.0,2024-09-30,7634500.0,-0.1931,3.1647169325973947,25.31999969482422,20.399999618530273,0.001822201689909202,0.008334849505563941,0.0082074329213049,-783.0666564941407,-843.999989827474,1.2411764788380133,0.07219589344519899
AMWD,US,2025-02-05,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1998025856.0,5.76,0.059720002,1.2892466,57.366,0.119449995,1.983,6.64,1207232000.0,194075000.0,156866000.0,2024-10-31,15309000.0,0.0699,1.3464780813177055,74.9800033569336,91.0199966430664,0.07851049551182585,0.11194263641015138,0.007662063007857291,10.424699300743011,11.292169180261084,0.8237750617698503,0.07682048202345616
ANAB,US,2025-02-05,Biotechnology,Healthcare,439318528.0,14.135,-2.89754,5.9538407,435.073,-1.61815,10.225,-5.99,44737000.0,404801000.0,-140075000.0,2024-09-30,-15740000.0,-0.1816,1.8518720787594694,16.510000228881836,32.369998931884766,-0.31884610156938337,-0.3115976847341048,-0.03582821801679168,-0.3964941951388708,-2.756260472267418,0.5100401845432044,0.8561477773496865
